n, H[n]
462, 93451920
463, 93819640
464, 94187920
465, 94556759
466, 94926156
467, 95296110
468, 95666620
469, 96037685
470, 96409304
471, 96781476
472, 97154200
473, 97527475
474, 97901300
475, 98275674
476, 98650596
477, 99026065
478, 99402080
479, 99778640
480, 100155744
481, 100533391
482, 100911580
483, 101290310
484, 101669580
485, 102049389
486, 102429736
487, 102810620
488, 103192040
489, 103573995
490, 103956484
491, 104339506
492, 104723060
493, 105107145
494, 105491760
495, 105876904
496, 106262576
497, 106648775
498, 107035500
499, 107422750
500, 107810524
501, 108198821
502, 108587640
503, 108976980
504, 109366840
505, 109757219
506, 110148116
507, 110539530
508, 110931460
509, 111323905
510, 111716864
511, 112110336
512, 112504320
513, 112898815
514, 113293820
515, 113689334
516, 114085356
517, 114481885
518, 114878920
519, 115276460
520, 115674504
521, 116073051
522, 116472100
523, 116871650
524, 117271700
525, 117672249
526, 118073296
527, 118474840
528, 118876880
529, 119279415
530, 119682444
531, 120085966
532, 120489980
533, 120894485
534, 121299480
535, 121704964
536, 122110936
537, 122517395
538, 122924340
539, 123331770
540, 123739684
541, 124148081
542, 124556960
543, 124966320
544, 125376160
545, 125786479
546, 126197276
547, 126608550
548, 127020300
549, 127432525
550, 127845224
551, 128258396
552, 128672040
553, 129086155
554, 129500740
555, 129915794
556, 130331316
557, 130747305
558, 131163760
559, 131580680
560, 131998064
561, 132415911
562, 132834220
563, 133252990
564, 133672220
565, 134091909
566, 134512056
567, 134932660
568, 135353720
569, 135775235
570, 136197204
571, 136619626
572, 137042500
573, 137465825
574, 137889600
575, 138313824
576, 138738496
577, 139163615
578, 139589180
579, 140015190
580, 140441644
581, 140868541
582, 141295880
583, 141723660
584, 142151880
585, 142580539
586, 143009636
587, 143439170
588, 143869140
589, 144299545
590, 144730384
591, 145161656
592, 145593360
593, 146025495
594, 146458060
595, 146891054
596, 147324476
597, 147758325
598, 148192600
599, 148627300
600, 149062424
601, 149497971
602, 149933940
603, 150370330
604, 150807140
605, 151244369
606, 151682016
607, 152120080
608, 152558560
609, 152997455
610, 153436764
611, 153876486
612, 154316620
613, 154757165
614, 155198120
615, 155639484
616, 156081256
617, 156523435
618, 156966020
619, 157409010
620, 157852404
621, 158296201
622, 158740400
623, 159185000
624, 159630000
625, 160075399
626, 160521196
627, 160967390
628, 161413980
629, 161860965
630, 162308344
631, 162756116
632, 163204280
633, 163652835
634, 164101780
635, 164551114
636, 165000836
637, 165450945
638, 165901440
639, 166352320
640, 166803584
641, 167255231
642, 167707260
643, 168159670
644, 168612460
645, 169065629
646, 169519176
647, 169973100
648, 170427400
649, 170882075
650, 171337124
651, 171792546
652, 172248340
653, 172704505
654, 173161040
655, 173617944
656, 174075216
657, 174532855
658, 174990860
659, 175449230
660, 175907964
661, 176367061
662, 176826520
663, 177286340
664, 177746520
665, 178207059
666, 178667956
667, 179129210
668, 179590820
669, 180052785
670, 180515104
671, 180977776
672, 181440800
